Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4032190,ChIP-Seq,GCA_000001405.13,50,1465797961,PRJNA339028,SAMN05578160,471689997,iPS-derived cardiomyocytes,GEO,"GATA4 (sc1237\, lot:E0912)",public,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023698,GSM2279955,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279955,purified cardiomyocyte WT,SRP082271
SRR4032191,ChIP-Seq,GCA_000001405.13,50,1730524047,PRJNA339028,SAMN05578159,568578261,iPS-derived cardiomyocytes,GEO,"H3K27ac (ab4729\, lot:GR104852-2)",public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023699,GSM2279957,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279957,purified cardiomyocyte WT,SRP082271
SRR4032192,ChIP-Seq,GCA_000001405.13,50,1350383013,PRJNA339028,SAMN05578158,460129520,iPS-derived cardiomyocytes,GEO,"H3K27me3 (07-449\, lot:2194165)",public,"bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023700,GSM2279958,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279958,purified cardiomyocyte WT,SRP082271
SRR4032193,ChIP-Seq,GCA_000001405.13,50,1667669281,PRJNA339028,SAMN05578157,554680913,iPS-derived cardiomyocytes,GEO,"H3K36me3 (ab9050\, lot:GR114293-2)",public,"bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023701,GSM2279959,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279959,purified cardiomyocyte WT,SRP082271
SRR4032194,ChIP-Seq,GCA_000001405.13,50,1032796393,PRJNA339028,SAMN05578156,420412400,iPS-derived cardiomyocytes,GEO,"H3K4me3 (CS200580\, lot:NG1848343)",public,"bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023702,GSM2279960,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279960,purified cardiomyocyte WT,SRP082271
SRR4032195,ChIP-Seq,GCA_000001405.13,50,601522472,PRJNA339028,SAMN05578155,235075011,iPS-derived cardiomyocytes,GEO,Input,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023703,GSM2279961,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279961,purified cardiomyocyte WT,SRP082271
SRR4032196,ChIP-Seq,GCA_000001405.13,50,648051482,PRJNA339028,SAMN05578154,246750933,iPS-derived cardiomyocytes,GEO,"MED1 (A300-793A\, lot:A300-793A)",public,"bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023704,GSM2279962,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279962,purified cardiomyocyte WT,SRP082271
SRR4032197,ChIP-Seq,GCA_000001405.13,50,771430068,PRJNA339028,SAMN05578153,295035484,iPS-derived cardiomyocytes,GEO,TBX5 (sc17866),public,"sra,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023705,GSM2279963,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279963,purified cardiomyocyte WT,SRP082271
SRR4032198,ChIP-Seq,GCA_000001405.13,49,1542744030,PRJNA339028,SAMN05578152,532463903,iPS-derived cardiomyocytes,GEO,"GATA4 (sc1237\, lot:E0912)",public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023706,GSM2279964,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279964,purified cardiomyocyte WT,SRP082271
SRR4032199,ChIP-Seq,GCA_000001405.13,49,2039871473,PRJNA339028,SAMN05578151,720443953,iPS-derived cardiomyocytes,GEO,"H3K27ac (ab4729\, lot:GR104852-2)",public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023707,GSM2279965,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2279965,purified cardiomyocyte WT,SRP082271
