geneid,external_gene_name,entrezgene_id,pvalue.pef,pvalue.ref,pvalue.pef.ref,padj.pef,padj.ref,padj.pef.ref,l2fc.pef,l2fc.ref,l2fc.pef.ref,control_median,hfpef_median,hfref_median,z.pos.pef,z.pos.ref,description
ENSG00000100242,SUN2,25777,1.3508E-134,1.53212E-77,2.57345E-07,1.7946E-130,2.90775E-74,1.3114E-06,-1.143803114,-0.920028892,-0.223774223,6690,3009,3490,-24.69055792,-18.63965976,Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]
ENSG00000142748,FCN3,8547,9.7754E-99,1.3617E-82,0.567916534,6.49331E-95,6.03006E-79,0.633630028,-3.498162206,-3.408219026,-0.08994318,977.5,83,74.5,-21.09024499,-19.25186557,ficolin 3 [Source:HGNC Symbol;Acc:HGNC:3625]
ENSG00000101187,SLCO4A1,28231,3.41828E-96,1.67358E-64,0.003468157,1.51373E-92,2.22336E-61,0.007193515,-3.770040979,-3.268913435,-0.501127544,919.5,69,73.5,-20.81131652,-16.95821262,solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]
ENSG00000129116,PALLD,23022,4.64035E-83,9.70645E-48,3.99226E-05,1.54118E-79,4.29834E-45,0.000126823,-1.182887763,-0.947562039,-0.235325724,43989,19802,22632.5,-19.307554,-14.51520681,"palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]"
ENSG00000120910,PPP3CC,5533,5.68612E-81,3.84372E-58,0.043980023,1.5108E-77,3.40426E-55,0.069606219,-0.791724144,-0.712493321,-0.079230823,1353.5,798,824.5,-19.05756411,-16.07461526,protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]
ENSG00000164694,FNDC1,84624,4.13397E-78,1.73047E-73,0.564310168,9.15329E-75,2.87366E-70,0.630026204,3.541239128,3.638936109,-0.097696981,25.5,300,303.5,18.709609,18.13360103,fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]
ENSG00000135678,CPM,1368,4.54343E-77,1.37022E-53,0.023363792,8.62277E-74,8.66829E-51,0.039681408,-2.341790336,-2.069566594,-0.272223742,485.5,98,101.5,-18.58141769,-15.411487,carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]
ENSG00000115602,IL1RL1,9173,7.54974E-77,1.09132E-48,0.001484015,1.25373E-73,5.36968E-46,0.003363101,-6.613135033,-5.543415718,-1.069719315,907.5,12,15,-18.55414616,-14.66430329,interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]
ENSG00000177575,CD163,9332,1.45718E-74,4.97988E-55,0.084697443,2.15096E-71,3.67543E-52,0.124263448,-3.679192157,-3.352524964,-0.326667194,1644.5,106,127,-18.26914417,-15.62421877,CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]
ENSG00000156313,RPGR,6103,2.69033E-74,5.79502E-48,0.004435629,3.5741E-71,2.65472E-45,0.00893062,-1.274631671,-1.084189599,-0.190442072,428,180,194.5,-18.23565072,-14.55053249,retinitis pigmentosa GTPase regulator [Source:HGNC Symbol;Acc:HGNC:10295]
ENSG00000075886,TUBA3D,113457,1.91669E-72,7.87271E-80,0.019504915,2.31483E-69,2.61472E-76,0.033748735,-3.655703888,-4.101801787,0.446097899,2818.5,220,127.5,-18.00090294,-18.91954777,tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071]
ENSG00000116962,NID1,4811,4.60245E-72,1.03838E-29,3.01421E-10,5.0953E-69,1.08621E-27,2.818E-09,-1.739952018,-1.168753192,-0.571198826,6306.5,1896,2642,-17.95232284,-11.3205337,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
ENSG00000136802,LRRC8A,56262,1.89702E-71,3.76684E-18,3.54855E-20,1.93861E-68,1.16649E-16,2.37175E-18,-1.1549757,-0.596764549,-0.558211151,1419,687,969.5,-17.8735021,-8.685619316,leucine rich repeat containing 8 VRAC subunit A [Source:HGNC Symbol;Acc:HGNC:19027]
ENSG00000160299,PCNT,5116,3.95939E-70,3.0068E-32,4.76263E-08,3.75718E-67,3.87818E-30,2.83221E-07,-1.930362519,-1.373125238,-0.557237281,4861.5,1294,1820.5,-17.70322925,-11.82193456,pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]
ENSG00000169964,TMEM42,131616,1.21117E-67,1.69517E-11,1.3001E-28,1.0727E-64,2.08715E-10,4.42869E-26,1.071254573,0.447970589,0.623283984,119,244,160.5,17.37799361,6.730125107,transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]
ENSG00000162434,JAK1,3716,5.14211E-67,1.51587E-43,0.006466905,4.26956E-64,5.29955E-41,0.012554849,-0.963528904,-0.82149219,-0.142036713,7962,3975,4057,-17.29486744,-13.83740207,Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]
ENSG00000256235,SMIM3,85027,2.94183E-64,1.00858E-62,0.319066531,2.29895E-61,1.21809E-59,0.390744733,-1.149636499,-1.213952023,0.064315525,748,349,316,-16.92503282,-16.71562446,small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]
ENSG00000099998,GGT5,2687,3.82508E-63,1.23963E-52,0.603613455,2.82312E-60,7.48568E-50,0.665222056,-1.819481155,-1.766438758,-0.053042397,1228,364,352.5,-16.77332274,-15.26851549,gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]
ENSG00000096060,FKBP5,2289,1.24865E-62,4.61085E-79,0.000324041,8.73072E-60,1.2251E-75,0.0008506,-2.197791434,-2.640505838,0.442714404,11948.5,2750,1576,-16.70289095,-18.82615038,FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]
ENSG00000118515,SGK1,6446,1.73243E-62,2.2584E-07,6.9596E-33,1.15077E-59,1.4139E-06,5.13657E-30,-2.331314753,-0.769287585,-1.562027168,1923,399,1033.5,-16.68334422,-5.176703938,serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]
ENSG00000145623,OSMR,9180,7.24647E-61,6.35628E-32,2.78396E-05,4.58425E-58,7.81882E-30,9.16459E-05,-1.68468884,-1.281569479,-0.403119361,1113.5,372,483.5,-16.45884955,-11.75889214,oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]
ENSG00000262919,CCNQ,92002,5.59982E-60,5.97894E-78,0.000106513,3.38153E-57,1.32384E-74,0.000311051,-0.986752609,-1.209310787,0.222558178,940,461,374.5,-16.33460012,-18.68993182,cyclin Q [Source:HGNC Symbol;Acc:HGNC:28434]
ENSG00000179604,CDC42EP4,23580,1.59235E-59,5.67373E-34,0.000390689,9.19758E-57,8.46916E-32,0.001009983,-1.256036703,-0.999350954,-0.256685749,2532,1106,1158,-16.27073476,-12.15090038,CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]
ENSG00000158859,ADAMTS4,9507,2.05125E-58,1.63458E-07,1.73139E-29,1.13545E-55,1.05108E-06,6.38932E-27,-4.192667419,-1.446398356,-2.746269063,923,80,274.5,-16.11348657,-5.236717322,ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]
ENSG00000103415,HMOX2,3163,4.5191E-58,1.28478E-85,2.22222E-07,2.40145E-55,1.70683E-81,1.14694E-06,-1.034795812,-1.348259509,0.313463697,3306,1558,1274,-16.06458073,-19.60942441,heme oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:5014]
ENSG00000135821,GLUL,2752,6.37208E-58,7.34524E-34,0.000853933,3.25589E-55,1.08424E-31,0.002046637,-1.410121611,-1.136001754,-0.274119857,14970,5854,6890,-16.04325908,-12.12977343,glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]
ENSG00000085063,CD59,966,1.38923E-57,6.71696E-42,0.099226179,6.73578E-55,2.17646E-39,0.142803574,-0.765148698,-0.691362235,-0.073786463,15335,9064,9167.5,-15.99479142,-13.56211651,CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]
ENSG00000079616,KIF22,3835,1.41966E-57,5.51053E-14,8.89679E-18,6.73578E-55,1.0001E-12,3.65925E-16,1.078719364,0.542100768,0.536618597,329,684,457.5,15.9934418,7.51921687,kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]
ENSG00000171552,BCL2L1,598,2.21788E-57,3.91462E-41,0.078644128,1.01602E-54,1.08345E-38,0.116384899,-1.157232634,-1.037673959,-0.119558674,2759,1275,1343,-15.96563079,-13.43222661,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]
ENSG00000172508,CARNS1,57571,4.11369E-57,3.99516E-14,3.02673E-17,1.82168E-54,7.3614E-13,1.1689E-15,2.296804776,1.16254791,1.134256865,279.5,1299,606,15.92704091,7.561151713,carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]
ENSG00000152086,TUBA3E,112714,8.51487E-56,4.2113E-85,3.59947E-08,3.64903E-53,2.79735E-81,2.18451E-07,-3.225472675,-4.293514691,1.068042016,1716,163,73,-15.7364027,-19.54894626,tubulin alpha 3e [Source:HGNC Symbol;Acc:HGNC:20765]
ENSG00000158615,PPP1R15B,84919,1.32959E-55,4.03092E-07,3.35746E-28,5.51989E-53,2.40894E-06,1.0373E-25,-0.957093581,-0.328159492,-0.628934089,1458.5,777,1130,-15.70817129,-5.067491722,protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]
ENSG00000155659,VSIG4,11326,1.7217E-54,5.79639E-38,0.053581563,6.93114E-52,1.16674E-35,0.082828841,-2.916299715,-2.57391155,-0.342388165,597,71,79,-15.54494523,-12.88049326,V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]
ENSG00000124762,CDKN1A,1026,1.85956E-54,2.92335E-07,4.39385E-27,7.26595E-52,1.78888E-06,1.08097E-24,-2.400261955,-0.843175409,-1.557086546,3303.5,632,1555,-15.54000953,-5.12832298,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]
ENSG00000142599,RERE,473,7.30711E-54,3.80367E-20,1.47371E-09,2.77357E-51,1.47323E-18,1.2076E-08,-0.898894517,-0.569765545,-0.329128971,8819.5,4430,5837,-15.4520593,-9.193470452,arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]
ENSG00000114098,ARMC8,25852,1.21684E-52,2.18434E-20,9.40477E-09,4.49049E-50,8.74064E-19,6.44698E-08,-0.498804421,-0.321785446,-0.177018975,1328.5,932,1037.5,-15.26972546,-9.252923942,armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]
ENSG00000134294,SLC38A2,54407,1.29075E-51,1.01321E-13,1.49474E-14,4.63448E-49,1.76647E-12,3.50841E-13,-1.276688066,-0.669376717,-0.607311349,8960,3943,5912,-15.11494713,-7.439168534,solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]
ENSG00000144655,CSRNP1,64651,5.62543E-51,0.189200797,5.08572E-48,1.96668E-48,0.273736563,2.25213E-44,-2.769139798,-0.256607381,-2.512532417,664,112,512,-15.01766544,-1.312947034,cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]
ENSG00000106609,TMEM248,55069,6.00389E-51,8.80143E-08,3.33243E-23,2.04517E-48,5.97481E-07,4.21631E-21,-0.37720989,-0.142899846,-0.234310044,2075.5,1590,1843.5,-15.01334827,-5.349876456,transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476]
